Пользователь: matvej
  UID   PID TTY           TIME CMD
  501   688 ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  501   693 ??         0:09.89 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
  501   694 ??         0:00.20 /usr/sbin/BTLEServerAgent
  501   695 ??         0:01.38 /usr/libexec/inputanalyticsd
  501   697 ??         0:06.60 /usr/libexec/gamecontrolleragentd
  501   700 ??         0:03.75 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
  501   705 ??         1:13.79 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
  501   708 ??         0:00.04 /System/Library/Frameworks/ImageIO.framework/Versions/A/XPCServices/ImageIOXPCService.xpc/Contents/MacOS/ImageIOXPCService
  501   709 ??         0:10.63 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  501   715 ??         0:05.37 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
  501   716 ??         0:00.02 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  501   717 ??         0:00.35 /System/Library/CoreServices/ScopedBookmarkAgent
